Method,Endpoint name,Purpose,Example request body,Example response body
GET,/api/health,Check whether the backend API is running.,No body,"{
  ""status"": ""ok"",
  ""message"": ""Totsuko Motors API is running!""
}"
POST,/api/auth/login,"Log in with email or username and password. Sets token and refreshToken cookies.","{
  ""emailOrUsername"": ""clerk01"",
  ""password"": ""password123""
}","{
  ""success"": true,
  ""message"": ""Login success"",
  ""user"": {
    ""userId"": ""U123456789"",
    ""employeeId"": ""C123456789"",
    ""name"": ""Somchai Clerk"",
    ""email"": ""somchai@example.com"",
    ""username"": ""clerk01"",
    ""phone"": ""0812345678"",
    ""role"": ""clerk"",
    ""hireDate"": ""2026-04-28""
  }
}"
POST,/api/auth/register,"Register an employee user. Valid roles are technician, clerk, and purchasingStaff. Sets token and refreshToken cookies.","{
  ""email"": ""tech01@example.com"",
  ""username"": ""tech01"",
  ""password"": ""password123"",
  ""role"": ""technician"",
  ""name"": ""Suda Technician"",
  ""phone"": ""0899999999"",
  ""hireDate"": ""2026-04-28""
}","{
  ""success"": true,
  ""message"": ""Register success"",
  ""user"": {
    ""userId"": ""U987654321"",
    ""employeeId"": ""T987654321"",
    ""name"": ""Suda Technician"",
    ""email"": ""tech01@example.com"",
    ""username"": ""tech01"",
    ""phone"": ""0899999999"",
    ""role"": ""technician"",
    ""hireDate"": ""2026-04-28""
  }
}"
POST,/api/auth/logout,Log out the current user and clear auth cookies.,No body,"{
  ""success"": true,
  ""message"": ""Logout success""
}"
GET,/api/auth/verify,Verify the current token cookie and return the authenticated user profile. Requires auth cookie.,No body,"{
  ""success"": true,
  ""message"": ""Token valid"",
  ""user"": {
    ""userId"": ""U123456789"",
    ""employeeId"": ""C123456789"",
    ""name"": ""Somchai Clerk"",
    ""email"": ""somchai@example.com"",
    ""username"": ""clerk01"",
    ""role"": ""clerk"",
    ""phone"": ""0812345678"",
    ""hireDate"": ""2026-04-28""
  }
}"
POST,/api/auth/refresh,Create a new access token from the refreshToken cookie. Sets a new token cookie.,No body,"{
  ""success"": true,
  ""message"": ""Refresh token success"",
  ""userId"": ""U123456789""
}"
GET,/api/service/service-request?page=1&limit=10&status=Pending,"Get paginated service requests for the clerk dashboard. page, limit, and status are query parameters; status is optional.",No body,"{
  ""success"": true,
  ""data"": [
    {
      ""requestId"": ""RABC12345"",
      ""checkingDate"": ""2026-04-28T12:00:00.000Z"",
      ""requestStatus"": ""Pending"",
      ""problemDescription"": ""Engine noise"",
      ""odometer"": 85000,
      ""customerName"": ""Anan Customer"",
      ""plateNumber"": ""ABC-1234"",
      ""clerkName"": ""Somchai Clerk""
    }
  ],
  ""meta"": {
    ""currentPage"": 1,
    ""itemsPerPage"": 10,
    ""totalItems"": 1,
    ""totalPages"": 1,
    ""hasNextPage"": false,
    ""hasPrevPage"": false
  }
}"
POST,/api/service/service-request/create,"Create a customer, vehicle, and service request record in one transaction. Required fields are plate_number and name.","{
  ""vehicle_type"": ""Sedan"",
  ""color"": ""White"",
  ""year"": 2020,
  ""model"": ""Civic"",
  ""brand"": ""Honda"",
  ""plate_number"": ""ABC-1234"",
  ""name"": ""Anan Customer"",
  ""phone"": ""0801112222"",
  ""address"": ""Bangkok"",
  ""email"": ""anan@example.com"",
  ""request_status"": ""Pending"",
  ""problem_description"": ""Engine noise"",
  ""odometer"": 85000
}","{
  ""message"": ""Service request created successfully"",
  ""data"": {
    ""customer"": {
      ""customerId"": ""CABC12345"",
      ""name"": ""Anan Customer"",
      ""phone"": ""0801112222"",
      ""address"": ""Bangkok"",
      ""email"": ""anan@example.com""
    },
    ""vehicle"": {
      ""vehicleId"": ""VABC12345"",
      ""vehicleType"": ""Sedan"",
      ""color"": ""White"",
      ""year"": 2020,
      ""model"": ""Civic"",
      ""brand"": ""Honda"",
      ""plateNumber"": ""ABC-1234"",
      ""customerId"": ""CABC12345""
    },
    ""serviceRequest"": {
      ""requestId"": ""RABC12345"",
      ""checkingDate"": ""2026-04-28T12:00:00.000Z"",
      ""requestStatus"": ""Pending"",
      ""problemDescription"": ""Engine noise"",
      ""odometer"": 85000,
      ""customerId"": ""CABC12345"",
      ""vehicleId"": ""VABC12345""
    }
  }
}"
POST,/api/service/:serviceId/service-job,Create a service job for an existing service request. :serviceId is the service request ID.,"{
  ""service_details"": ""Inspect engine and belts"",
  ""start_time"": ""2026-04-28T09:00:00.000Z"",
  ""end_time"": null
}","{
  ""message"": ""Service job created successfully"",
  ""data"": {
    ""service_id"": ""SJABC1234"",
    ""start_time"": ""2026-04-28T09:00:00.000Z"",
    ""service_details"": ""Inspect engine and belts"",
    ""job_status"": null,
    ""labor_cost"": null,
    ""end_time"": null,
    ""request_id"": ""RABC12345""
  }
}"
GET,/api/service/service-job/:id,"Retrieve service job detail by service job ID. Returns the main job fields plus linked service request, customer, and vehicle context.",No body,"{
  ""message"": ""Service job fetched successfully"",
  ""data"": {
    ""service_id"": ""SJABC1234"",
    ""service_type"": null,
    ""start_time"": ""2026-04-28T09:00:00.000Z"",
    ""service_status"": ""Completed"",
    ""labor_cost"": ""1500.00"",
    ""end_time"": ""2026-04-28T11:00:00.000Z"",
    ""service_details"": ""Changed engine oil and checked belts"",
    ""request_id"": ""RABC12345"",
    ""request_status"": ""Pending"",
    ""problem_description"": ""Engine noise"",
    ""odometer"": 85000,
    ""customer_id"": ""CABC12345"",
    ""customer_name"": ""Anan Customer"",
    ""customer_phone"": ""0801112222"",
    ""vehicle_id"": ""VABC12345"",
    ""brand"": ""Honda"",
    ""model"": ""Civic"",
    ""plate_number"": ""ABC-1234""
  }
}"
PUT,/api/service/service-job/:id,Update a service job. At least one updatable field is required.,"{
  ""service_details"": ""Changed engine oil and checked belts"",
  ""job_status"": ""Completed"",
  ""labor_cost"": 1500,
  ""start_time"": ""2026-04-28T09:00:00.000Z"",
  ""end_time"": ""2026-04-28T11:00:00.000Z""
}","[
  {
    ""service_id"": ""SJABC1234"",
    ""start_time"": ""2026-04-28T09:00:00.000Z"",
    ""service_details"": ""Changed engine oil and checked belts"",
    ""job_status"": ""Completed"",
    ""labor_cost"": ""1500.00"",
    ""end_time"": ""2026-04-28T11:00:00.000Z"",
    ""request_id"": ""RABC12345""
  }
]"
POST,/api/service/service-job/:id/parts,Add a used part record to a service job. :id is the service job ID.,"{
  ""part_id"": ""P001"",
  ""quantity"": 2
}","[
  {
    ""part_id"": ""P001"",
    ""job_id"": ""SJABC1234"",
    ""quantity"": 2
  }
]"
GET,/api/parts/purchasing?status=Inventory,"Get part stock status for purchasing. Optional status query values are Inventory, Nearly Out of Stock, and Waiting for delivery.",No body,"{
  ""message"": ""Purchasing parts fetched successfully"",
  ""data"": [
    {
      ""part_id"": ""P001"",
      ""part_name"": ""Engine Oil"",
      ""stock_qty"": 25,
      ""price"": ""350.00"",
      ""reorder_point"": 10,
      ""reserved_qty"": 2,
      ""status"": ""Inventory""
    }
  ]
}"
